,"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)","Agriculture, forestry, and fishing, value added (% of GDP)",CO2 emissions (metric tons per capita),Current health expenditure (% of GDP),"Death rate, crude (per 1,000 people)",Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",GDP growth (annual %),GDP per capita growth (annual %),Individuals using the Internet (% of population),"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",Mobile cellular subscriptions (per 100 people),"Mortality rate, infant (per 1,000 live births)",People using at least basic drinking water services (% of population),Rural population (% of total population),Secure Internet servers (per 1 million people),Trade in services (% of GDP),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",cluster
Guyana,85.89251673,96.92275238,16.58429112,2.632392779,5.167162418,7.162,17.13699913,39.29199982,3.898243206,3.340901769,37.32583679,39.86199951,59.45700073,70.70307206,25.1,94.09735383,73.6,32.24886839,19.72469852,25.5129993,1
Costa Rica,97.68201702,100.0,5.043542201,1.635675761,8.218052238,4.791,12.10900021,31.53499985,3.515338564,2.365020868,71.3907709,35.95899963,54.4129982,155.4435575,7.6,99.04613622,27.132,1161.424934,19.12480807,21.05600035,1
Guatemala,85.83794068,95.72872925,10.35622137,0.911580226,5.936356634,4.876,31.48999977,50.61800003,4.443978074,2.653912392,65.0,31.04899979,74.81400299,111.4995795,22.1,92.29375042,51.299,71.79523774,10.92278,37.54300117,1
Greece,100.0,100.0,3.207292913,6.19952668,9.098247439,10.4,11.98200035,15.62699986,0.739777139,1.4130581,70.54943345,22.40200043,25.68499947,117.8887779,3.6,100.0,23.351,3695.693753,24.57262639,25.79600072,1
Israel,100.0,100.0,1.263266861,7.653847633,6.971810758,5.2,0.924000025,44.3769989,3.75820019,1.785509991,81.58118359,48.0019989,47.70500183,132.4812089,3.0,99.99999766,8.108,6967.624207,19.31796696,8.267999947,1
Germany,100.0,100.0,0.942643214,8.895302257,10.7205376,10.7,1.210000038,47.50999832,2.225688749,1.800420038,84.39550077,47.99200058,52.2840004,117.8176431,3.1,100.0000024,22.84,34181.27844,16.48751432,5.620000124,1
Croatia,100.0,100.0,3.50322606,3.988513088,7.785690576,12.0,5.962999821,28.06399918,-0.103928497,0.303821249,67.09619204,29.32500076,38.72399902,104.3182481,4.0,99.50775561,44.678,14607.96391,28.30711968,7.271000266,1
Gabon,44.39267423,96.66636658,3.329080651,2.826459284,2.557716519,7.749,32.83100128,11.61600018,4.314964441,0.61986238,62.0,15.34399986,20.89100075,144.8670371,32.7,84.79219994,13.908,28.08957475,13.86890505,31.46399963,1
France,100.0,100.0,1.458632177,4.573459729,11.20309308,8.4,2.443000078,31.12400055,0.956183048,0.479080613,80.50245972,34.79100037,42.08300018,103.4564614,3.4,99.99558535,21.378,14831.36484,18.42983816,7.428000182,1
Finland,100.0,100.0,2.367353331,8.647964154,8.957631886,9.6,3.605999947,44.32600021,-0.364940281,-0.776140375,87.46892907,54.4129982,51.56999969,134.9395252,1.4,99.99999775,15.687,22324.1145,20.82340955,9.585000366,1
Fiji,91.20191028,99.85467529,10.11352173,1.900256563,3.404846415,8.174,36.25999832,32.78300095,5.603514406,5.500525589,49.96637301,25.67000008,50.72299957,111.2042338,21.6,93.92133921,47.317,149.2947249,39.913412,43.14100075,1
Cyprus,100.0,100.0,2.041470818,5.260461605,6.591454893,6.799,2.071000099,33.3769989,-1.863716857,-0.777603675,80.74318897,41.66600037,37.64599991,130.9823176,1.9,99.67227696,32.594,17364.03092,81.53729119,11.06000042,1
Czech Republic,100.0,99.95353699,2.403634049,9.231128627,6.976892054,10.0,2.717999935,27.59499931,2.715116133,2.607037045,78.71916143,25.32600021,33.43299866,117.4805076,2.7,99.87410974,26.815,25419.94205,22.82199791,13.68100014,1
Estonia,100.0,100.0,3.068217624,13.82505125,5.822662264,11.8,3.184000015,40.54499817,2.987325819,3.257770915,88.10245687,44.11299896,48.50999832,144.7205063,2.1,99.66355894,32.035,29131.21763,45.01598558,6.148999959,1
El Salvador,89.41914383,98.95637512,5.613304006,0.998428944,8.144399524,6.935,16.28100014,39.43199921,1.711223206,1.241729222,33.8207289,30.85499954,56.52899933,147.5723164,11.8,93.62683786,33.675,61.52042807,16.74621175,34.19100094,1
"Egypt, Arab Rep.",99.44955868,100.0,11.2743496,2.519807397,4.357069358,6.027,23.79199982,19.98500061,2.915911879,0.61685323,44.95020425,18.91399956,38.5530014,101.7022519,18.1,98.81579497,57.0,36.18733063,12.91108708,20.72099972,1
Ecuador,97.0184028,100.0,8.769342903,2.893262958,7.865218073,5.096,29.20199966,41.10900116,3.788868549,2.198941227,57.27224368,34.27399826,55.64500046,79.84070461,12.2,91.65299851,37.149,209.9448442,5.775548051,46.72800159,1
Georgia,99.98094085,100.0,8.61641445,2.41448868,8.388103545,13.121,41.81800079,26.99300003,4.431924823,4.382901471,59.7055046,26.70599937,49.69800186,137.9343335,8.7,96.54475881,44.081,2360.244249,27.12448679,49.08399963,1
Italy,100.0,100.0,2.144589807,5.270866786,8.834642917,9.8,3.684000015,18.25799942,-0.004547542,-0.91781388,63.077347,21.70000076,29.66799927,144.756385,2.6,99.4876503,31.556,7744.061541,10.7280211,16.86599994,1
Jamaica,91.13657963,100.0,5.971155095,2.536806259,4.931637645,7.497,15.93000031,26.5909996,0.691478109,0.116180484,55.07206705,30.77400017,37.39500046,108.5157458,12.4,90.17014235,46.07,137.2886619,37.39370118,35.77300012,1
Japan,100.0,100.0,1.104187087,9.480766374,10.61671749,10.1,3.423000097,45.58300018,0.374719476,0.507999337,84.58806583,48.14300156,46.5379982,125.4518632,1.8,98.849375,8.931,5980.236099,7.347134113,8.306999922,1
Denmark,100.0,100.0,1.302127587,5.873333894,10.15290841,9.1,2.186000109,56.61800003,1.619393817,1.105433472,97.09936216,63.7159996,61.88999939,124.4441651,3.6,100.0000032,13.043,43757.82743,39.15378028,4.89500007,1
Botswana,25.70219167,81.11695099,2.298528876,3.283177265,5.776903033,6.634,20.68700027,27.84000015,4.149289893,2.848903521,47.0,41.35100174,47.46900177,163.8751723,30.0,86.45558795,36.135,68.47675056,13.62859059,25.91200066,1
Brazil,98.23240924,100.0,4.506904938,2.631289885,7.788301259,6.195,9.220999718,40.48099899,0.50395574,-0.352479218,67.47128452,49.33300018,61.97600174,126.0879559,12.8,97.02484686,15.369,1581.638554,5.213266051,27.90799952,1
Brunei Darussalam,100.0,100.0,0.684659216,22.09494374,1.864097267,4.081,1.363000035,26.44000053,-2.508352562,-3.780740982,94.86669164,34.6609993,40.66199875,111.6838231,9.8,99.90000909,24.69,1620.833363,16.04625986,6.035000056,1
Morocco,99.7258364,100.0,13.38956681,1.751330788,5.732993409,5.142,34.68999863,20.52400017,2.669493927,1.229493548,61.76221201,13.14500046,38.98799896,124.279337,19.2,82.06017612,41.419,284.2785875,22.80881492,47.53800011,1
Mongolia,66.50469714,99.7,13.41406247,10.07889064,3.586121649,6.296,27.42399979,23.54800034,7.885225482,5.745360276,23.71426517,22.98800087,33.20800018,102.3251098,14.0,79.78898439,32.037,1527.083329,20.47372777,48.48599863,1
Moldova,100.0,100.0,11.55036174,1.725073242,9.096703678,11.386,35.93099976,17.75200081,4.999625584,5.063648177,76.12451989,19.3920002,21.13699913,91.21617904,13.6,87.58999075,57.411,3655.325756,22.68391435,37.34700131,1
Mexico,97.85177407,100.0,3.138783695,4.000652984,5.701141432,5.67,12.60900021,41.24200058,2.804340128,1.499188933,63.85224909,31.22699928,57.27099991,88.37175565,11.0,97.34483119,21.889,185.4824199,4.233858371,26.93200016,1
Mauritius,100.0,88.46392822,3.375429985,3.338569663,4.307828844,7.7,6.072000027,31.02000046,3.744575773,3.556904271,55.4032403,35.87799835,45.4980011,139.9254916,13.6,99.86669191,58.556,379.5627595,39.26813951,16.171,1
Bulgaria,100.0,100.0,4.484012662,5.859433041,7.1348086,15.1,6.393000126,21.21100044,1.894547142,2.475353867,63.41010138,19.13999939,27.6439991,127.70783,5.9,99.2707185,27.362,32308.32566,25.75334557,7.793999791,1
Malta,100.0,100.0,1.193485729,5.400613957,8.562771976,7.5,0.989000022,49.39500046,8.790634242,6.639896391,81.01191108,54.49300003,53.20700073,120.8972712,6.1,100.0000023,5.859,14102.59424,210.2593577,9.809000198,1
Maldives,99.74483606,100.0,5.413434052,3.026224383,7.922516018,3.157,8.470000267,49.15599823,7.329626203,2.537708683,63.18566588,40.60699844,68.5530014,162.6215886,7.4,98.3498444,63.151,421.0297299,102.5498603,19.46700072,1
Malaysia,100.0,100.0,9.113363845,8.125176355,3.388656303,4.818,10.36100006,36.51300049,6.006721946,4.595193579,80.14047901,33.68700027,48.17399979,145.6973848,6.7,96.8234309,28.391,4917.725842,25.84607821,21.78900099,1
Cabo Verde,81.42620089,91.858284,8.279068071,0.948113817,4.305274412,5.866,11.46000004,25.00099945,0.611212666,-0.654704681,57.16214635,30.66699982,38.69800186,116.527138,16.7,84.51823935,37.678,260.46657,53.61506882,35.16800022,1
Luxembourg,100.0,100.0,0.27688434,17.36871291,6.111482903,6.9,1.006999969,28.12100029,4.29678635,1.867277284,97.36296032,31.97900009,34.03499985,142.3577966,1.9,99.96524526,11.094,43014.34091,281.0599469,5.61499989,1
Lithuania,100.0,100.0,3.550449187,4.378090123,6.496496499,13.7,6.873000145,32.05199814,3.507971217,4.401798234,77.61525651,34.23500061,38.79499817,142.7088762,3.3,95.6610179,33.259,13058.25231,27.52504362,9.152000487,1
Lebanon,100.0,100.0,3.953061054,3.843598231,8.14711377,4.048,13.60900021,24.45100021,2.461361188,-3.228929666,78.18077489,17.49099922,41.98300171,71.29772813,6.4,91.34302011,12.516,119.3504342,58.0965807,26.88199925,1
Canada,100.0,100.0,1.894231512,15.25547233,10.35250351,7.3,1.452000022,56.43999863,2.870036039,1.841026088,91.0,63.31900024,63.18099976,82.61933463,4.3,99.34176479,18.904,26566.66043,11.4815891,10.69100039,1
Chile,100.0,100.0,3.381868051,4.454138162,6.771788746,5.848,9.001999855,27.43899918,1.766739784,0.692556387,82.32748693,30.43300056,37.18299866,129.1440655,6.2,99.15830429,12.868,7258.192401,9.630844441,22.69400036,1
Kyrgyz Republic,99.69355789,100.0,14.63787255,1.76327684,7.107291371,6.1,21.17200089,33.70899963,4.024038629,1.957996974,38.0,26.63400078,51.60599899,127.1905538,16.9,86.26758683,64.648,103.0944468,28.75673251,33.78899908,1
Kuwait,100.0,100.0,0.355117519,23.94268372,2.618084289,2.403,2.010999918,21.97500038,0.500876982,-3.980074304,100.0,17.27799988,33.32300186,199.832125,6.7,100.0,0.0,484.2090886,18.48042502,1.083000006,1
"Korea, Rep.",100.0,100.0,2.099047114,11.57034541,6.294254214,5.3,4.879000187,27.02899933,3.202453795,2.556219509,95.06942188,34.10300064,26.95000076,115.9612246,2.7,99.3386437,18.077,1198.942929,15.29959661,19.04099965,1
China,100.0,100.0,8.942898986,7.543907641,4.325513169,7.16,25.36300087,40.47999954,7.424523656,6.881995441,54.3,43.31499863,46.75400162,91.835388,7.4,90.51711232,49.489,209.120056,6.224165887,45.37799931,1
Kazakhstan,100.0,100.0,4.50354557,14.36783614,2.686830983,7.65,15.80200005,37.40200043,4.200000001,2.676714897,76.42674823,35.15200043,42.50099945,149.7227182,8.8,93.30480733,43.1,1232.247257,9.415973319,23.15400092,1
Jordan,98.1714194,100.0,4.14581788,2.978804489,8.299319446,3.806,3.084000111,14.85700035,3.096330347,-1.522510132,66.79031443,8.484999657,36.99900055,148.9004082,13.9,99.06368458,12.828,108.0868495,32.40820074,9.201999754,1
New Zealand,100.0,100.0,7.035953231,7.684949553,9.510231018,6.88,5.663000107,56.44900131,3.625595767,2.072257347,90.81109307,62.76399994,64.37999725,121.3557518,4.7,100.0,13.9,14980.49605,13.83238546,12.08699977,1
Latvia,100.0,100.0,3.10787877,3.474283046,5.57204932,14.3,6.75,32.10300064,1.915190378,2.879503461,80.114077,33.59799957,39.43299866,129.6507839,3.3,98.42048507,32.131,11948.01076,26.27478259,7.142999858,1
